idx,pesos,f1_macro,f1_weighted,accuracy
9,"{0: 1.0, 1: 2.5, 2: 1.5}",0.38168886079354686,0.40448006095525235,0.400990099009901
7,"{0: 0.8, 1: 2.0, 2: 1.2}",0.37871959417255924,0.40179537901487805,0.39851485148514854
37,"{0: 1.3, 1: 2.2, 2: 1.5}",0.3780586485795219,0.4133820072142272,0.42326732673267325
11,"{0: 1.0, 1: 2.0, 2: 2.0}",0.37167434023417795,0.40769472122523753,0.4207920792079208
32,"{0: 1.0, 1: 2.0, 2: 2.0}",0.37167434023417795,0.40769472122523753,0.4207920792079208
10,"{0: 1.0, 1: 3.0, 2: 1.5}",0.36923063112944526,0.3887859052125257,0.3787128712871287
45,"{0: 1.3, 1: 2.1, 2: 1.6}",0.36797950089797543,0.40455455973802423,0.4183168316831683
38,"{0: 0.7, 1: 2.8, 2: 1.2}",0.36614689355874946,0.375234455351773,0.36633663366336633
12,"{0: 1.0, 1: 3.5, 2: 1.8}",0.3626760563380282,0.3775449728071399,0.3688118811881188
44,"{0: 0.9, 1: 3.2, 2: 1.4}",0.35873081763492726,0.3722559389011308,0.3613861386138614
6,"{0: 0.8, 1: 3.0, 2: 1.5}",0.3547624826525006,0.36484949195115907,0.3613861386138614
40,"{0: 1.4, 1: 2.3, 2: 1.3}",0.35352554815029463,0.3931202679091439,0.4084158415841584
50,"{0: 1.4, 1: 2.6, 2: 1.4}",0.3518171084085859,0.3888757245997407,0.39603960396039606
16,"{0: 1.2, 1: 2.5, 2: 1.5}",0.3496027434882257,0.38067629922475726,0.3811881188118812
4,"{0: 1.0, 1: 4.0, 2: 2.0}",0.3488017628344961,0.3578949127103276,0.3564356435643564
28,"{0: 1.2, 1: 2.5, 2: 2.0}",0.3484394958048375,0.38422853158799003,0.3935643564356436
23,"{0: 1.1, 1: 2.2, 2: 1.1}",0.34800824539044434,0.38173534343250787,0.38613861386138615
15,"{0: 1.2, 1: 3.0, 2: 1.2}",0.34749854523126533,0.37002368486458725,0.3688118811881188
35,"{0: 1.5, 1: 1.5, 2: 2.5}",0.34548428556603095,0.3982265224055675,0.44801980198019803
21,"{0: 0.9, 1: 2.2, 2: 1.5}",0.34480530737439113,0.37265963529727986,0.37376237623762376
2,"{0: 1.0, 1: 2.0, 2: 1.0}",0.34471219632735645,0.3772899554700872,0.3811881188118812
39,"{0: 1.1, 1: 2.5, 2: 1.8}",0.34446983058094166,0.3763683908073347,0.3787128712871287
27,"{0: 1.0, 1: 2.5, 2: 2.5}",0.33999539175674265,0.36374544498876754,0.3811881188118812
29,"{0: 1.5, 1: 1.5, 2: 1.0}",0.33883059815263206,0.3908620946840447,0.44554455445544555
30,"{0: 1.0, 1: 1.5, 2: 1.5}",0.33706062406482956,0.3835404002528625,0.4084158415841584
5,"{0: 0.8, 1: 2.5, 2: 1.8}",0.33482393957570133,0.3557111837799977,0.3613861386138614
22,"{0: 0.9, 1: 2.8, 2: 1.3}",0.3342423830023839,0.3539363961876006,0.3415841584158416
14,"{0: 1.2, 1: 2.5, 2: 1.0}",0.33340651320590964,0.3677637598217482,0.37623762376237624
43,"{0: 1.0, 1: 1.0, 2: 3.0}",0.33285571947472803,0.37834070229235417,0.4405940594059406
24,"{0: 1.1, 1: 2.8, 2: 1.3}",0.3327385071075664,0.3570206742077026,0.349009900990099
42,"{0: 2.5, 1: 1.0, 2: 2.5}",0.33208062301094543,0.3901135271952563,0.452970297029703
48,"{0: 1.2, 1: 1.8, 2: 1.8}",0.32869853093316775,0.37621027465875073,0.400990099009901
1,"{0: 1.0, 1: 1.0, 2: 1.0}",0.3269972333676596,0.38113052222069665,0.4282178217821782
46,"{0: 0.6, 1: 3.8, 2: 1.1}",0.3262457540574309,0.32405959712918003,0.32673267326732675
31,"{0: 2.0, 1: 2.0, 2: 1.0}",0.32617034660232197,0.3737282889154259,0.4381188118811881
20,"{0: 1.2, 1: 4.0, 2: 1.2}",0.3246388344459345,0.34427323020841555,0.33910891089108913
3,"{0: 1.0, 1: 3.0, 2: 1.0}",0.32211484593837536,0.34106290040768783,0.3415841584158416
36,"{0: 2.0, 1: 1.0, 2: 1.5}",0.3218706047819972,0.38221633872247984,0.45544554455445546
13,"{0: 1.2, 1: 2.0, 2: 0.8}",0.32063851181498243,0.3580000251156337,0.38613861386138615
8,"{0: 0.8, 1: 3.5, 2: 2.0}",0.31996930340846497,0.3253574436766603,0.3316831683168317
26,"{0: 0.8, 1: 2.5, 2: 2.0}",0.31917774858087755,0.34065635389617965,0.35148514851485146
47,"{0: 1.5, 1: 2.8, 2: 0.9}",0.3176339225691621,0.3518528146327063,0.38366336633663367
33,"{0: 0.5, 1: 3.5, 2: 0.8}",0.3134662643753553,0.30961090264870644,0.3193069306930693
34,"{0: 0.8, 1: 3.0, 2: 0.8}",0.31212991988854055,0.32755432870873297,0.32425742574257427
49,"{0: 0.8, 1: 2.2, 2: 2.2}",0.31146577298406325,0.3309919391018716,0.35396039603960394
19,"{0: 1.0, 1: 4.5, 2: 1.0}",0.2900687444515837,0.3010729394321054,0.3069306930693069
18,"{0: 0.8, 1: 4.5, 2: 0.8}",0.2718644812933381,0.274142948736305,0.29455445544554454
25,"{0: 0.5, 1: 2.0, 2: 2.5}",0.26009713106487303,0.26956566624404377,0.3292079207920792
17,"{0: 0.5, 1: 4.0, 2: 0.5}",0.2502563513202335,0.24811291874283833,0.28465346534653463
41,"{0: 0.5, 1: 5.0, 2: 0.5}",0.24144032158627848,0.23563397159520372,0.28465346534653463
